คะแนนคณิตศาสตร์,คะแนนคอมพิวเตอร์,คะแนนภาษาไทย,คะแนนวิทยาศาสตร์,คะแนนศิลปะ,ทักษะการคิดเชิงตรรกะ,ทักษะความคิดสร้างสรรค์,ทักษะการแก้ปัญหา,ความสนใจด้านตัวเลข,ความสนใจด้านเทคโนโลยี,ความสนใจด้านการทำอาหาร,อายุ,เพศ,รายได้ครอบครัว,การศึกษาของผู้ปกครอง,จำนวนพี่น้อง,ชั่วโมงการนอน,ความถี่การออกกำลังกาย,ชั่วโมงใช้โซเชียลมีเดีย,ชอบอ่านหนังสือ,ประเภทเพลงที่ชอบ,แผนก,ชั้นปี,GPA,ความพึงพอใจในแผนก,หากเลือกใหม่จะเลือกแผนกเดิมไหม
31.4,32.4,32.4,86.3,88.8,9.2,9.7,8.8,1.4,7.0,4.7,18,1,5,2,2,5.0,4,5.0,1,1,อาหาร,2,3.65,5,2
97.9,34.4,57.4,87.2,61.4,8.1,5.3,9.4,4.0,9.9,1.3,19,1,1,1,0,6.4,5,1.9,1,3,บัญชี,1,3.4,5,2
88.3,93.5,78.8,98.5,74.6,9.5,9.2,4.8,4.5,8.4,2.2,18,0,1,4,1,5.7,5,1.4,0,4,สารสนเทศ,2,3.13,4,2
44.9,39.7,43.5,65.1,45.5,5.3,8.9,8.4,9.9,7.7,3.9,18,1,4,1,1,5.6,4,7.9,0,3,อาหาร,1,2.69,4,2
42.7,67.3,74.9,61.8,77.4,6.5,4.5,4.9,2.9,2.9,4.1,19,1,3,4,2,9.8,6,2.3,1,4,อาหาร,1,3.1,3,4
42.8,58.8,48.2,82.7,84.1,3.1,7.4,4.5,5.9,8.9,9.1,19,1,4,4,3,6.9,2,7.2,1,4,อาหาร,1,3.31,5,2
51.3,54.3,92.0,39.3,63.1,3.0,3.5,9.6,9.9,5.7,7.7,19,1,2,3,2,7.6,3,1.4,0,3,อาหาร,3,2.89,3,4
66.7,93.0,92.7,68.3,73.2,4.7,8.9,3.1,8.1,9.0,9.7,16,0,5,4,3,8.7,5,6.6,0,1,อาหาร,1,3.21,4,5
60.2,31.5,50.8,68.2,61.9,3.7,4.2,9.8,9.9,4.0,6.4,18,0,3,4,1,5.2,2,4.0,0,4,อาหาร,2,3.22,4,2
50.4,76.5,46.1,36.3,92.6,4.8,3.5,4.0,9.7,1.6,3.2,19,0,4,1,0,6.2,1,0.6,1,2,อาหาร,1,3.14,5,1
72.8,97.4,58.8,59.3,64.9,4.2,5.8,8.7,5.4,5.3,3.9,18,0,4,1,2,9.2,4,5.9,1,2,สารสนเทศ,2,3.47,5,1
39.8,69.2,46.8,89.7,88.9,3.2,7.0,4.9,7.3,3.4,3.9,18,0,1,2,3,9.3,0,7.1,1,1,อาหาร,1,2.84,4,1
50.5,95.6,77.1,89.9,86.1,9.4,9.0,5.5,2.0,7.4,3.9,16,1,2,3,1,6.9,6,1.3,0,1,สารสนเทศ,1,2.61,3,5
55.6,33.7,87.8,36.9,58.7,3.1,9.8,4.5,5.0,9.6,7.1,18,0,4,4,0,6.9,6,5.8,0,3,อาหาร,2,2.72,4,3
61.9,59.3,77.1,36.4,46.1,8.2,6.1,7.1,8.3,7.2,5.8,16,0,1,3,2,8.8,6,3.6,1,4,บัญชี,2,3.07,4,5
85.0,48.2,87.7,48.4,58.4,4.1,3.4,5.4,5.5,9.0,4.5,19,1,3,2,2,6.5,4,6.0,0,3,บัญชี,1,2.87,4,1
44.0,81.2,57.8,91.2,87.8,9.4,8.2,7.6,7.3,5.1,2.3,19,0,4,3,1,5.6,4,5.7,0,2,อาหาร,3,2.72,3,4
66.0,98.7,40.9,39.0,45.9,9.2,7.0,3.1,7.7,7.9,1.2,18,0,1,4,2,6.3,2,0.2,0,2,สารสนเทศ,1,3.73,5,1
71.5,48.0,81.7,80.4,66.7,7.6,6.1,3.5,3.3,8.6,3.0,16,0,2,1,1,6.9,6,1.4,0,4,อาหาร,2,2.33,3,2
33.3,75.8,55.2,37.1,86.4,7.7,5.2,3.7,8.9,7.4,2.0,16,0,5,3,2,5.3,6,3.8,0,4,สารสนเทศ,2,2.59,4,1
72.5,43.9,77.0,73.6,54.7,3.0,6.5,5.9,5.1,5.6,8.1,17,1,3,4,0,7.4,6,7.5,0,2,อาหาร,3,3.08,3,2
41.9,69.6,48.9,54.9,75.0,9.9,5.4,8.7,2.9,6.6,2.0,17,0,4,2,0,8.7,1,2.7,0,3,สารสนเทศ,2,3.07,4,5
34.6,62.5,35.7,85.2,47.2,9.1,8.3,9.2,8.8,7.3,7.5,19,0,1,4,2,7.6,2,5.0,0,4,สารสนเทศ,1,2.77,3,1
96.4,98.0,99.5,46.4,37.6,9.3,6.8,4.7,4.8,3.3,4.5,19,0,4,3,1,5.4,3,0.1,1,3,บัญชี,3,2.67,4,1
97.6,72.6,40.9,74.7,85.6,7.6,9.1,7.0,7.8,8.3,1.7,17,0,5,4,3,7.2,6,5.7,0,4,บัญชี,3,2.02,2,3
86.6,54.5,99.2,46.5,36.9,5.4,6.8,8.4,5.9,9.6,8.3,16,0,4,4,2,8.5,1,4.8,0,1,บัญชี,3,3.86,5,1
51.3,38.0,98.4,80.0,49.0,9.3,4.7,5.0,4.4,5.2,6.2,18,1,4,3,3,5.3,5,5.7,0,3,อาหาร,1,3.23,4,1
36.8,40.6,85.6,91.2,89.9,5.0,9.0,5.9,8.3,7.3,3.1,18,0,1,3,1,5.3,1,7.2,0,2,อาหาร,2,4.0,5,2
77.9,45.8,76.2,38.9,54.3,6.9,6.9,6.7,6.3,7.6,9.1,16,0,5,2,3,6.9,1,1.2,1,1,บัญชี,2,3.03,4,2
60.8,47.6,70.4,90.7,98.1,3.7,4.4,3.9,4.5,7.0,1.4,19,1,3,4,2,6.0,2,2.1,1,3,อาหาร,2,3.91,5,1
38.5,89.5,90.6,71.6,98.6,9.5,7.4,3.2,2.0,5.9,2.8,18,1,1,1,0,9.7,4,8.0,1,4,อาหาร,3,3.22,4,2
64.7,69.3,50.3,38.9,48.8,4.0,5.5,4.1,9.1,8.9,7.8,16,0,5,3,1,7.9,4,1.3,0,2,สารสนเทศ,2,3.34,3,1
32.4,66.6,62.7,59.9,32.9,4.6,8.9,7.4,1.3,5.0,7.4,18,1,5,4,0,6.4,4,5.8,0,4,สารสนเทศ,2,3.07,3,4
93.7,38.0,73.4,41.3,79.4,6.9,6.2,3.5,8.8,1.5,3.6,16,0,4,1,0,8.5,4,5.8,0,3,บัญชี,1,3.19,3,1
48.1,90.2,58.8,79.0,61.6,8.3,8.1,4.3,4.2,8.6,1.6,17,0,2,1,0,6.9,4,5.5,1,1,สารสนเทศ,1,3.37,4,1
76.4,80.6,59.9,83.1,37.1,7.3,3.7,5.4,6.8,7.1,8.7,17,0,2,4,2,5.7,3,1.8,1,3,สารสนเทศ,1,2.95,4,3
51.8,34.7,53.1,37.4,79.5,4.6,5.8,3.5,9.3,8.6,3.8,18,0,3,4,1,6.2,0,1.7,0,2,อาหาร,1,3.03,4,5
66.4,79.5,69.5,65.4,32.2,3.0,9.9,4.3,2.4,2.2,2.8,18,1,4,4,3,8.2,5,5.3,0,1,สารสนเทศ,1,3.02,3,3
68.3,68.0,89.5,87.0,90.9,8.3,8.7,9.4,6.1,1.3,5.6,18,1,2,1,0,5.3,1,1.5,0,2,อาหาร,1,4.0,5,2
42.9,35.7,44.1,95.5,39.7,9.9,4.1,3.1,7.9,9.4,9.2,18,1,1,4,3,6.4,0,5.3,0,4,อาหาร,2,2.88,3,2
97.9,62.1,95.4,65.9,38.9,8.7,4.9,7.6,7.8,2.3,1.4,17,1,3,3,1,6.0,3,3.9,1,1,บัญชี,2,4.0,5,1
84.3,63.9,78.2,96.5,42.3,6.2,5.3,5.7,5.7,8.3,7.9,17,0,4,1,1,6.0,6,3.1,0,3,บัญชี,3,2.82,3,1
95.8,41.6,87.6,67.5,97.2,9.3,7.6,7.7,6.6,8.4,6.2,16,0,1,3,3,8.4,6,2.4,1,4,อาหาร,2,3.16,3,5
92.6,96.2,68.9,57.6,78.5,5.9,8.3,7.1,7.8,7.4,4.8,18,0,2,3,3,9.1,4,7.6,0,4,สารสนเทศ,2,3.08,4,4
71.9,89.5,84.6,89.4,86.1,6.7,8.2,4.6,8.6,2.2,7.7,17,1,2,4,0,8.6,6,4.1,0,3,อาหาร,1,3.33,4,2
94.5,76.8,31.1,64.5,57.8,6.3,6.6,8.9,7.9,7.0,9.7,19,0,2,3,3,8.2,3,4.5,0,4,บัญชี,3,2.9,3,1
36.2,62.4,87.3,63.0,53.5,6.1,8.7,6.4,4.2,9.0,3.1,16,0,2,4,3,9.6,5,7.6,1,2,อาหาร,1,3.21,4,1
43.7,58.8,32.8,64.3,46.4,8.4,6.1,8.8,10.0,4.8,2.3,16,0,5,1,2,5.3,5,5.2,0,3,สารสนเทศ,3,3.4,4,2
33.2,75.6,92.3,89.3,63.6,6.7,3.9,5.8,4.9,4.7,9.2,16,1,3,3,0,5.8,3,7.7,0,4,อาหาร,2,3.51,4,1
52.8,68.2,99.4,88.2,68.6,5.2,7.0,9.9,1.2,5.0,7.0,19,1,3,4,0,7.1,6,0.9,1,1,อาหาร,1,3.87,5,2
57.2,34.4,50.6,58.2,74.2,4.8,9.7,8.4,4.3,1.7,4.9,19,1,2,2,1,6.9,0,6.8,0,3,อาหาร,1,3.56,4,3
49.0,65.9,44.7,53.3,48.0,3.3,8.6,9.8,2.2,9.0,6.2,19,1,3,4,3,7.1,1,2.7,0,3,สารสนเทศ,1,2.96,4,5
88.0,86.4,83.6,64.4,96.4,7.1,7.1,6.6,2.1,8.8,7.7,17,0,1,2,2,6.0,2,6.5,0,4,อาหาร,1,3.22,4,1
55.0,62.1,47.7,70.1,41.9,4.6,7.5,6.3,3.5,10.0,8.0,19,0,1,4,1,5.7,2,6.8,1,3,สารสนเทศ,1,2.52,4,4
49.7,33.6,90.6,46.7,97.6,4.0,9.5,8.3,1.5,6.3,9.3,16,0,3,2,2,7.5,5,2.2,0,3,อาหาร,2,4.0,5,1
68.0,85.0,37.2,85.6,31.0,7.6,6.0,9.2,7.2,7.8,4.8,18,0,2,3,0,9.6,1,3.3,1,3,สารสนเทศ,1,3.46,5,2
39.9,44.1,38.8,64.1,63.7,7.8,5.3,9.7,1.7,2.8,3.6,16,1,4,2,3,7.0,4,5.8,0,3,อาหาร,2,3.42,4,2
86.2,48.1,98.5,53.4,53.3,8.3,9.8,5.3,2.8,7.0,6.8,16,0,2,3,2,5.2,3,0.8,0,3,บัญชี,3,3.66,5,1
35.2,41.5,77.2,37.5,61.4,6.5,9.0,8.6,1.8,6.8,4.7,17,0,5,3,1,8.5,6,6.0,1,3,อาหาร,2,2.92,5,1
99.1,53.1,89.3,46.7,69.9,9.3,5.3,4.5,1.6,9.1,6.4,16,1,4,4,0,6.5,4,0.9,1,2,บัญชี,1,3.42,5,1
84.1,83.0,52.7,96.4,60.5,9.6,6.2,6.8,3.4,8.5,4.8,17,0,5,3,2,6.2,5,7.3,1,4,สารสนเทศ,1,2.92,3,1
43.9,66.4,77.4,51.4,59.0,8.7,5.9,4.3,6.1,9.4,2.4,17,0,3,1,2,6.6,3,2.2,0,2,สารสนเทศ,1,2.37,3,3
30.4,44.3,71.6,41.8,81.3,7.4,4.0,5.4,9.7,8.8,5.2,18,1,5,2,1,8.6,2,4.6,0,4,อาหาร,2,3.52,5,2
87.1,91.4,72.2,62.2,78.0,5.1,9.7,9.5,8.9,8.8,7.2,16,1,3,4,2,9.1,5,0.9,1,3,สารสนเทศ,2,3.07,4,3
79.5,91.6,77.8,51.5,88.3,9.9,5.8,4.0,8.9,1.6,8.2,18,0,5,3,0,7.9,5,2.2,0,4,อาหาร,2,2.99,4,3
81.0,90.9,70.3,32.5,47.5,4.9,9.1,7.4,2.6,8.6,5.4,18,0,4,2,2,6.6,1,3.2,0,2,สารสนเทศ,1,3.0,3,3
84.0,46.7,60.0,52.6,72.7,4.4,4.3,7.2,3.4,6.5,2.5,16,0,5,2,3,6.6,0,3.9,0,4,บัญชี,1,2.56,3,1
35.2,61.6,49.3,68.1,71.0,6.1,6.8,3.8,1.7,4.4,4.7,16,0,2,1,3,5.6,5,0.0,0,3,อาหาร,3,2.87,4,2
55.1,98.9,83.8,68.6,55.9,3.4,3.2,5.3,8.0,1.5,8.1,19,0,3,2,1,9.7,0,7.1,0,3,สารสนเทศ,2,2.75,4,5
38.1,84.0,45.8,55.0,64.0,9.8,8.3,6.9,1.6,7.1,4.7,19,1,1,4,3,8.2,1,0.1,1,3,สารสนเทศ,3,2.87,3,3
90.4,31.9,78.5,61.3,52.0,7.1,7.1,4.3,6.0,4.0,7.3,17,0,5,4,3,5.1,5,6.2,1,2,บัญชี,3,2.91,3,4
73.6,34.6,46.3,97.6,39.9,6.9,7.4,8.6,3.2,5.2,5.6,16,0,3,3,2,8.3,6,3.8,1,1,อาหาร,3,2.98,4,3
53.2,62.5,73.8,56.4,45.0,7.6,3.4,9.8,3.2,7.1,3.2,17,0,1,3,0,7.2,5,4.2,1,3,สารสนเทศ,1,3.09,4,1
34.4,93.6,82.3,48.1,37.4,6.5,4.5,4.5,9.9,9.2,8.2,18,0,3,4,0,9.9,2,1.7,0,3,สารสนเทศ,1,3.81,4,5
51.8,67.7,45.3,47.0,77.8,3.2,3.5,4.3,7.8,8.4,1.8,18,0,3,2,2,9.1,3,4.9,0,4,สารสนเทศ,1,2.7,4,4
52.8,64.8,34.2,62.0,76.3,7.3,5.0,6.2,8.5,5.1,5.7,19,0,1,2,3,5.9,6,4.3,0,1,อาหาร,3,2.67,3,2
81.1,37.4,39.2,83.2,96.5,8.0,7.4,8.2,6.1,4.5,2.9,17,0,1,1,2,8.6,0,1.3,1,4,อาหาร,1,2.91,3,4
74.6,76.0,72.4,44.4,81.1,5.9,7.0,5.0,8.8,3.2,1.6,16,0,4,3,3,7.4,2,1.9,0,2,บัญชี,2,3.18,3,5
92.1,87.5,89.5,79.7,33.6,8.3,7.3,3.1,6.8,4.4,5.5,16,0,5,2,3,5.9,6,0.5,0,1,บัญชี,3,3.35,3,2
63.1,56.6,33.1,31.5,91.9,4.6,6.8,6.8,9.5,2.0,5.5,19,1,5,2,3,8.5,5,0.5,0,3,อาหาร,3,3.16,4,3
38.4,84.3,81.4,59.3,90.4,4.5,4.9,9.7,3.5,9.7,7.4,19,1,3,3,0,7.7,1,0.1,0,1,อาหาร,2,3.08,3,1
79.9,97.5,53.9,84.3,61.0,4.1,4.7,5.7,6.4,6.2,7.7,17,0,2,4,1,5.2,4,1.8,0,3,สารสนเทศ,1,3.39,4,1
83.3,44.3,63.5,53.7,71.0,5.6,4.0,5.9,7.2,2.2,7.6,19,0,2,2,0,8.2,2,5.4,0,2,บัญชี,1,2.48,3,1
69.3,66.6,95.0,69.5,98.3,8.9,8.9,9.8,4.5,4.2,4.7,19,0,3,1,3,8.2,2,2.5,1,4,อาหาร,2,3.18,4,1
84.0,50.1,53.2,44.3,67.3,8.8,7.3,7.9,8.9,5.9,6.7,19,0,4,2,2,5.7,4,2.7,0,2,บัญชี,3,3.0,4,1
64.6,85.5,62.6,81.9,93.4,5.7,4.3,8.0,9.8,5.8,6.2,18,0,1,2,2,6.7,5,1.1,1,2,อาหาร,3,2.56,3,1
66.6,70.4,31.0,33.7,35.8,7.1,4.2,6.9,5.4,1.3,4.8,17,0,3,1,3,7.9,2,4.6,0,3,สารสนเทศ,1,2.78,4,4
59.9,74.4,35.7,89.7,43.4,8.0,9.1,9.8,4.5,9.6,6.4,16,1,5,4,1,5.7,0,2.7,1,4,สารสนเทศ,1,3.43,3,2
31.8,85.9,48.1,43.9,60.9,4.7,8.2,7.8,5.2,3.5,9.5,16,0,2,1,0,9.3,5,5.4,0,2,สารสนเทศ,2,2.84,4,1
37.6,57.7,31.9,91.2,70.9,4.2,7.6,9.3,8.7,1.1,2.7,17,1,2,1,0,5.1,0,5.9,1,1,อาหาร,2,3.6,3,4
32.2,94.1,74.2,54.7,87.1,9.8,5.8,7.9,6.8,1.7,9.2,19,1,2,3,3,5.5,0,4.7,0,2,สารสนเทศ,1,2.45,3,1
74.5,67.3,59.8,80.6,99.2,7.3,4.8,8.1,1.4,6.2,1.5,19,1,4,2,3,5.6,2,2.2,1,3,อาหาร,1,3.59,4,4
52.0,41.1,68.4,52.3,57.2,9.9,9.9,5.0,5.9,2.2,3.8,16,1,5,4,1,7.6,5,4.1,1,1,อาหาร,3,2.95,4,1
65.6,78.7,42.2,93.4,33.3,5.4,8.6,5.1,1.2,1.4,3.6,18,1,4,2,0,8.1,2,2.0,0,1,สารสนเทศ,3,3.31,4,4
93.5,85.5,50.7,38.9,86.1,7.9,5.1,8.5,8.0,4.4,6.6,17,1,1,4,1,7.0,2,7.2,0,4,บัญชี,2,2.99,4,2
47.5,52.2,76.5,42.5,72.3,4.6,8.9,5.1,4.0,6.6,2.2,19,1,3,1,0,6.4,5,6.1,0,1,อาหาร,2,3.33,4,4
58.7,90.0,97.6,64.5,43.9,4.8,8.3,6.9,5.2,2.0,8.9,18,1,3,3,1,9.0,5,3.9,0,1,สารสนเทศ,1,2.85,3,1
82.9,93.4,33.5,35.7,64.6,6.6,5.1,4.7,8.2,3.8,8.5,18,1,2,1,1,5.3,5,7.7,0,3,สารสนเทศ,2,2.88,4,1
46.0,49.4,92.3,43.7,82.0,5.2,6.0,8.7,1.4,4.8,6.9,19,0,2,2,1,6.4,6,4.4,1,4,อาหาร,1,3.65,5,4
35.4,98.8,70.4,96.1,83.9,4.2,4.3,3.8,2.4,2.4,5.1,17,0,1,3,2,5.2,5,2.6,0,2,สารสนเทศ,1,2.96,3,4
50.3,39.8,69.5,98.4,65.0,4.8,3.8,8.8,4.6,5.6,9.4,17,1,4,3,2,5.1,1,0.8,1,1,อาหาร,1,3.53,5,2
41.3,44.1,65.0,56.3,51.4,3.3,8.1,7.2,3.1,1.8,8.5,16,1,5,2,2,6.8,5,4.3,1,2,อาหาร,1,3.66,4,1
95.1,42.9,34.9,94.6,98.2,7.9,4.9,4.3,4.0,1.4,5.5,16,1,1,4,0,6.0,4,6.9,1,2,อาหาร,3,2.23,2,4
86.6,92.6,36.3,68.1,76.4,6.4,8.7,6.8,10.0,5.7,7.3,17,0,3,3,1,6.3,5,6.9,0,2,สารสนเทศ,3,2.92,3,1
74.3,75.8,72.1,48.9,58.6,3.7,10.0,5.0,8.4,3.2,6.1,19,0,3,4,3,9.1,2,4.8,0,4,บัญชี,2,2.59,3,1
91.0,40.6,53.9,79.2,49.6,4.2,3.5,5.3,9.0,1.9,6.3,17,1,4,4,3,5.8,4,3.1,0,2,บัญชี,2,3.41,5,1
86.3,60.8,94.2,76.1,81.2,3.7,6.3,5.5,9.4,4.8,4.0,16,1,1,4,0,8.9,6,5.2,0,3,อาหาร,1,3.21,4,5
43.1,73.1,58.5,99.2,47.0,7.3,8.6,3.4,4.1,9.2,5.2,16,1,5,3,0,8.4,3,6.1,0,4,สารสนเทศ,2,2.59,3,1
92.5,35.8,40.0,48.6,42.0,3.7,8.5,9.9,3.7,7.5,1.7,16,1,1,1,3,6.6,0,3.3,1,4,บัญชี,2,4.0,5,2
67.8,91.8,80.0,77.0,67.1,8.3,8.3,3.2,3.1,8.3,4.2,17,1,1,3,1,7.7,1,3.8,1,4,สารสนเทศ,2,3.14,4,1
86.5,86.3,50.5,33.6,50.3,3.1,5.4,7.6,8.5,8.8,7.3,17,1,4,1,2,7.2,4,5.4,0,4,สารสนเทศ,1,2.92,4,4
92.7,65.4,66.8,38.0,74.0,4.7,6.2,5.6,7.1,9.8,9.6,19,0,5,3,0,5.6,6,7.0,0,1,บัญชี,2,2.75,4,2
52.3,97.7,78.8,30.3,38.3,9.2,7.2,7.5,3.1,7.9,9.7,16,0,3,1,0,9.5,0,6.3,0,1,สารสนเทศ,1,3.66,5,1
37.7,59.2,93.0,100.0,75.8,8.0,9.8,5.5,4.4,6.5,6.0,18,0,2,1,0,7.8,1,0.2,1,2,อาหาร,1,3.94,4,4
46.0,98.9,85.5,86.2,49.8,3.5,5.3,7.7,5.6,4.3,6.5,18,1,5,3,3,9.4,5,1.0,1,1,สารสนเทศ,2,3.26,5,1
59.9,76.8,77.3,85.1,30.0,8.7,9.5,8.1,5.8,2.6,2.7,19,1,3,4,2,9.1,6,6.8,0,4,สารสนเทศ,1,3.31,4,1
87.3,74.4,77.6,65.7,38.9,6.5,4.9,7.8,9.0,7.2,7.3,19,0,4,4,1,5.4,0,6.7,0,2,บัญชี,2,2.93,3,1
90.3,41.6,96.2,51.0,95.4,8.9,9.9,3.8,4.4,10.0,1.6,16,0,5,1,1,6.0,6,3.1,0,3,บัญชี,2,2.35,3,1
30.5,91.7,50.7,40.6,90.7,7.2,7.7,7.6,9.2,5.2,3.6,17,1,5,2,3,5.7,2,4.7,0,1,สารสนเทศ,1,2.6,3,1
65.8,59.9,30.1,49.9,46.4,7.8,6.2,5.0,5.0,7.5,7.0,17,0,3,2,0,9.2,2,7.2,0,4,สารสนเทศ,3,3.05,3,1
59.2,41.4,49.0,56.3,84.5,10.0,7.3,3.2,7.7,5.5,3.8,18,0,3,3,3,9.3,5,7.3,1,2,อาหาร,3,3.3,4,1
45.5,30.9,45.3,82.9,72.6,4.6,4.9,5.9,9.4,4.9,1.4,16,0,1,3,3,7.6,0,6.3,0,1,อาหาร,1,3.94,4,1
38.4,69.2,76.3,67.8,98.0,7.4,4.9,6.0,9.2,4.7,8.5,18,0,1,3,1,5.5,5,1.7,1,4,อาหาร,2,3.18,4,2
53.6,66.9,74.4,35.4,56.2,6.2,3.8,6.3,1.5,5.5,3.8,18,1,5,2,2,5.7,5,5.8,0,2,สารสนเทศ,1,2.9,4,2
96.0,80.4,71.5,31.3,77.7,3.3,3.8,7.9,2.9,4.3,1.6,16,1,2,4,1,9.1,1,0.8,1,1,บัญชี,3,3.52,4,1
52.6,92.3,31.1,37.2,34.4,3.1,5.4,5.2,5.3,7.7,1.7,19,1,4,3,3,9.6,0,7.2,1,3,สารสนเทศ,3,3.31,5,2
66.3,35.6,81.0,58.7,57.7,3.8,8.3,5.2,4.9,8.9,3.3,18,1,3,3,3,6.0,3,1.2,0,1,อาหาร,1,3.19,4,2
79.2,81.2,52.6,95.3,97.5,7.5,7.3,3.4,6.8,8.9,2.6,19,0,1,4,0,5.1,5,5.3,1,4,อาหาร,2,2.65,4,4
55.5,43.1,76.6,74.6,67.7,7.0,3.7,7.8,9.5,3.0,8.0,17,0,4,1,0,6.7,1,4.9,0,4,อาหาร,3,2.9,4,1
98.0,90.1,69.0,86.1,50.2,6.9,9.0,7.0,2.0,9.1,3.9,18,0,5,3,3,5.2,1,6.2,0,3,สารสนเทศ,1,2.9,3,3
97.4,87.3,54.0,62.6,38.4,3.2,7.2,5.4,5.1,4.1,8.2,16,1,3,2,1,9.1,0,4.4,0,3,บัญชี,1,2.54,3,5
47.6,67.9,39.4,55.3,79.2,6.3,9.7,7.9,2.7,3.8,2.6,19,1,3,2,0,7.5,4,0.5,0,2,อาหาร,1,2.4,4,4
64.8,79.7,36.6,37.6,75.1,9.5,7.7,6.8,9.0,7.5,5.4,17,1,1,3,2,8.2,6,5.6,0,2,สารสนเทศ,1,3.11,3,4
51.1,52.0,88.2,91.3,56.2,5.8,4.2,6.3,9.7,3.7,7.2,17,1,2,2,2,7.1,5,3.1,1,4,อาหาร,1,3.56,4,2
49.9,63.0,94.3,84.8,96.6,7.4,6.3,6.6,5.3,1.5,6.9,18,0,3,4,3,6.7,5,2.6,0,1,อาหาร,1,4.0,5,1
32.6,87.5,75.5,41.8,31.6,8.5,7.5,7.5,1.9,4.4,6.4,17,1,2,1,2,6.1,0,7.9,0,3,สารสนเทศ,1,3.89,5,2
72.7,62.1,37.2,65.9,51.3,8.5,3.2,7.6,8.1,7.5,9.3,16,0,4,1,2,8.9,4,4.7,1,2,สารสนเทศ,1,3.46,4,2
65.2,55.0,58.1,64.1,94.5,6.6,3.1,5.0,7.3,3.9,3.1,18,0,3,3,0,8.5,1,5.7,1,4,อาหาร,2,3.59,5,1
33.6,64.6,81.0,73.8,52.5,9.0,3.9,4.0,4.2,6.7,5.4,17,0,3,3,0,6.8,6,4.2,0,4,สารสนเทศ,3,2.82,3,2
49.5,88.0,84.6,96.2,47.7,5.7,4.8,4.1,9.0,6.9,9.0,16,1,2,1,1,6.6,2,6.2,0,4,สารสนเทศ,3,3.04,4,3
93.6,53.5,38.3,70.6,67.4,9.2,6.0,7.5,9.8,7.6,1.7,19,1,1,1,0,5.0,5,6.0,0,3,บัญชี,1,3.63,4,1
46.8,42.2,30.0,67.8,87.7,4.7,6.4,9.1,6.0,9.1,1.5,19,0,5,3,1,5.3,2,5.3,0,3,อาหาร,3,2.59,4,5
40.1,79.8,79.8,33.5,37.2,5.0,4.0,5.9,6.1,4.9,3.1,18,0,4,2,0,8.1,6,8.0,1,3,สารสนเทศ,3,3.03,3,2
64.3,87.8,55.0,34.4,96.0,3.4,7.7,4.2,3.7,2.5,6.7,16,1,3,3,3,7.6,5,3.7,0,1,อาหาร,3,2.18,3,2
99.0,37.0,47.8,43.1,85.7,8.6,7.2,8.3,6.3,3.9,3.3,17,1,1,4,1,7.2,6,5.6,0,3,บัญชี,3,3.33,4,2
